Freq	to_id	from_id
48	to_114	from_54
45	to_115	from_91
45	to_115	from_92
32	to_116	from_54
100	to_117	from_2
100	to_117	from_3
100	to_117	from_16
100	to_117	from_1
100	to_117	from_52
100	to_117	from_18
100	to_117	from_5
100	to_117	from_10
100	to_117	from_6
100	to_117	from_7
100	to_117	from_9
100	to_117	from_11
100	to_117	from_17
100	to_117	from_48
72	to_118	from_54
36	to_119	from_41
36	to_119	from_13
36	to_119	from_37
36	to_119	from_45
36	to_119	from_91
46	to_120	from_41
46	to_120	from_93
46	to_120	from_42
46	to_120	from_32
46	to_120	from_6
46	to_120	from_37
46	to_120	from_72
46	to_120	from_14
46	to_120	from_35
46	to_120	from_88
32	to_121	from_41
32	to_121	from_2
32	to_121	from_93
32	to_121	from_6
32	to_121	from_26
32	to_121	from_87
32	to_121	from_62
31	to_122	from_38
31	to_122	from_55
31	to_122	from_86
31	to_122	from_37
31	to_122	from_36
31	to_122	from_71
31	to_122	from_13
31	to_122	from_11
32	to_123	from_41
32	to_123	from_27
63	to_124	from_41
58	to_125	from_61
58	to_125	from_55
58	to_125	from_3
33	to_126	from_1
33	to_126	from_11
33	to_126	from_6
33	to_126	from_67
33	to_126	from_90
30	to_127	from_7
30	to_127	from_34
30	to_127	from_3
30	to_127	from_32
30	to_127	from_4
30	to_127	from_12
30	to_127	from_14
30	to_127	from_2
32	to_128	from_7
32	to_128	from_15
32	to_128	from_13
32	to_128	from_2
32	to_128	from_23
138	to_129	from_37
138	to_129	from_4
138	to_129	from_3
138	to_129	from_34
138	to_129	from_17
138	to_129	from_32
138	to_129	from_14
138	to_129	from_26
138	to_129	from_13
138	to_129	from_6
138	to_129	from_56
138	to_129	from_43
138	to_129	from_9
138	to_129	from_45
138	to_129	from_38
138	to_129	from_5
138	to_129	from_36
138	to_129	from_7
138	to_129	from_35
138	to_129	from_39
138	to_129	from_69
138	to_129	from_10
60	to_130	from_4
60	to_130	from_17
60	to_130	from_40
60	to_130	from_42
60	to_130	from_15
60	to_130	from_13
60	to_130	from_34
60	to_130	from_26
60	to_130	from_32
60	to_130	from_66
60	to_130	from_7
60	to_130	from_3
60	to_130	from_79
60	to_130	from_14
60	to_130	from_61
60	to_130	from_35
60	to_130	from_53
60	to_130	from_72
60	to_130	from_47
135	to_131	from_7
135	to_131	from_15
135	to_131	from_67
135	to_131	from_2
135	to_131	from_20
135	to_131	from_3
135	to_131	from_4
135	to_131	from_16
135	to_131	from_1
135	to_131	from_11
135	to_131	from_5
135	to_131	from_6
135	to_131	from_10
135	to_131	from_9
135	to_131	from_77
135	to_131	from_64
135	to_131	from_44
135	to_131	from_8
86	to_132	from_35
86	to_132	from_28
86	to_132	from_5
86	to_132	from_3
86	to_132	from_56
86	to_132	from_39
86	to_132	from_17
86	to_132	from_10
86	to_132	from_13
86	to_132	from_7
86	to_132	from_15
86	to_132	from_31
86	to_132	from_52
86	to_132	from_2
86	to_132	from_46
86	to_132	from_6
86	to_132	from_33
86	to_132	from_11
86	to_132	from_50
86	to_132	from_47
86	to_132	from_20
